Mata_kuliah,SKS,Tugas_Avg,Quiz_Avg,Absensi,UTS_Murni,Remedial,UTS_Final,Status_Remed,Nilai_Proses,Modal_sebelum_UAS,Status_Matkul,Prediksi_Skor_Akhir,Skenario_UAS_Dipilih,Modal_Regresi,butuh_uas_A,butuh_uas_B,butuh_uas_C,Status_Target_A,Grade_Prediksi,Bobot_SKS,Total_Mutu
Algoritma pemrogaman,3,86,81,90,87,0,87,Tidak,84.3,56.01,Sangat Aman,82.58559698550876,75,60.138092660548466,83.06683110360257,32.94990123407286,-0.46138534561361627,Butuh 83,B,3.5,10.5
Matematika dasar,2,90,95,90,80,0,80,Tidak,92.5,54.5,Aman,82.20753162582476,75,59.760027300864465,84.32999611142802,34.2130662418983,0.8017796622118244,Butuh 84,B,3.5,7.0
Bahasa Inggris,2,100,65,100,70,84,84,Ya,82.5,54.300000000000004,Aman,80.83637519777645,75,58.388870872816156,88.91120614773814,38.79427627820843,5.382989698521955,Butuh 89,B,3.5,7.0
Matematika Informatika,2,90,97,100,100,0,100,Tidak,95.5,64.1,Sangat Aman,91.1163800994353,75,68.668875774475,54.564387166747615,4.447457297217906,-28.96382928246857,Butuh 55,A,4.0,8.0
Pengenalan Teknologi komputer,2,80,75,83,81,0,81,Tidak,78.1,52.07,Aman,78.33683596217615,75,55.88933163721586,97.26248831951933,47.14555844998962,13.734271870303148,Butuh 97,B,3.5,7.0
Bahasa Indonesia,2,91,82,80,85,0,85,Tidak,84.3,55.11,Sangat Aman,81.89628771979834,75,59.448783394838046,85.36990204547098,35.25297217594127,1.8416855962547949,Butuh 85,B,3.5,7.0
PKN,2,90,83,68,100,0,100,Tidak,82.1,61.42,Sangat Aman,87.42460489343316,75,64.97710056847286,66.89908310629946,16.782153236769744,-16.62913334291673,Butuh 67,A,4.0,8.0
Fisika dan Kimia dasar,2,93,91,85,85,0,85,Tidak,90.4,56.33,Sangat Aman,83.67510357765259,75,61.22759925269229,79.42664940554506,29.309719536015358,-4.101567043671117,Butuh 79,B,3.5,7.0
